participant_id,trial_number,y_length,response
Participant_04,5,355,X
Participant_04,6,370,Equal
Participant_04,7,430,Equal
Participant_04,8,370,X
Participant_04,9,445,Y
Participant_04,10,355,X
Participant_04,11,445,Equal
Participant_04,12,370,X
Participant_04,13,385,X
Participant_04,14,430,Y
Participant_04,15,415,Y
Participant_04,16,385,X
Participant_04,17,415,Equal
Participant_04,18,415,Y
Participant_04,19,400,Y
Participant_04,20,430,Y
Participant_04,21,415,X
Participant_04,22,445,Y
Participant_04,23,370,X
Participant_04,24,445,Y
Participant_04,25,385,Equal
Participant_04,26,355,X
Participant_04,27,400,Equal
Participant_04,28,355,X
Participant_04,29,370,X
Participant_04,30,370,X
Participant_04,31,385,Equal
Participant_04,32,385,X
Participant_04,33,430,Y
Participant_04,34,445,Y
Participant_04,35,445,Y
Participant_04,36,385,X
Participant_04,37,355,X
Participant_04,38,400,Y
Participant_04,39,370,X
Participant_04,40,430,Y
Participant_04,41,445,Y
Participant_04,42,370,X
Participant_04,43,415,Y
Participant_04,44,415,Y
Participant_04,45,415,Equal
Participant_04,46,430,Equal
Participant_04,47,400,X
Participant_04,48,415,Equal
Participant_04,49,430,Y
Participant_04,50,400,Y
Participant_04,51,385,X
Participant_04,52,385,X
Participant_04,53,370,Equal
Participant_04,54,400,Equal
Participant_04,55,415,Y
Participant_04,56,355,X
Participant_04,57,385,X
Participant_04,58,430,Y
Participant_04,59,355,X
Participant_04,60,355,X
Participant_04,61,445,Y
Participant_04,62,355,X
Participant_04,63,430,Equal
Participant_04,64,355,X
Participant_04,65,400,X
Participant_04,66,385,X
Participant_04,67,415,Equal
Participant_04,68,445,Equal
Participant_04,69,445,Equal
Participant_04,70,370,X
Participant_05,1,370,X
Participant_05,2,445,Y
Participant_05,3,370,X
Participant_05,4,445,Equal
Participant_05,5,445,Y
Participant_05,6,370,X
Participant_05,7,400,Equal
Participant_05,8,430,Equal
Participant_05,9,430,Y
Participant_05,10,370,X
Participant_05,11,355,X
Participant_05,12,415,Equal
Participant_05,13,355,X
Participant_05,14,400,X
Participant_05,15,400,Equal
Participant_05,16,430,Y
Participant_05,17,445,Y
Participant_05,18,385,X
Participant_05,19,370,Equal
Participant_05,20,415,Equal
Participant_05,21,445,Y
Participant_05,22,355,X
Participant_05,23,430,Y
Participant_05,24,415,Equal
Participant_05,25,400,Equal
Participant_05,26,415,Equal
Participant_05,27,400,Equal
Participant_05,28,385,X
Participant_05,29,400,Equal
Participant_05,30,355,X
Participant_05,31,445,Y
Participant_05,32,430,Y
Participant_05,33,415,Equal
Participant_05,34,355,X
Participant_05,35,370,X
Participant_05,36,430,Y
Participant_05,37,400,Equal
Participant_05,38,415,Y
Participant_05,39,445,Y
Participant_05,40,370,X
Participant_05,41,430,Y
Participant_05,42,415,Equal
Participant_05,43,370,X
Participant_05,44,355,X
Participant_05,45,385,Equal
Participant_05,46,385,Equal
Participant_05,47,400,Equal
Participant_05,48,415,Equal
Participant_05,49,400,Equal
Participant_05,50,370,X
Participant_05,51,445,Y
Participant_05,52,385,Equal
Participant_05,53,355,X
Participant_05,54,370,Equal
Participant_05,55,445,Y
Participant_05,56,400,Y
Participant_05,57,385,Y
Participant_05,58,355,X
Participant_05,59,445,Y
Participant_05,60,385,X
Participant_05,61,355,X
Participant_05,62,415,Y
Participant_05,63,415,Equal
Participant_05,64,385,X
